"NLAid"	"squareEighth"	"squareQuarter"	"squareHalf"	"squareOne"	"HUC8"
"NLA06608-0297"	"15"	"15"	"17"	"44"	"0"
"NLA06608-0299"	"0"	"3"	"8"	"25"	"0"
"NLA06608-0302"	"0"	"0"	"3"	"14"	"0"
"NLA06608-0303"	"1"	"1"	"4"	"11"	"0"
"NLA06608-0306"	"0"	"0"	"0"	"1"	"0"
"NLA06608-0312"	"0"	"1"	"4"	"56"	"17"
"NLA06608-0313"	"0"	"4"	"9"	"46"	"0"
"NLA06608-0318"	"0"	"4"	"12"	"56"	"0"
"NLA06608-0319"	"0"	"1"	"11"	"69"	"0"
"NLA06608-0324"	"3"	"6"	"29"	"60"	"0"
"NLA06608-0325"	"4"	"14"	"29"	"74"	"0"
"NLA06608-0326"	"0"	"3"	"25"	"116"	"0"
"NLA06608-0327"	"0"	"2"	"6"	"23"	"0"
"NLA06608-0328"	"0"	"1"	"2"	"19"	"1"
"NLA06608-0330"	"2"	"2"	"2"	"4"	"0"
"NLA06608-0332"	"0"	"1"	"13"	"49"	"7"
"NLA06608-0333"	"31"	"125"	"376"	"945"	"0"
"NLA06608-0334"	"0"	"1"	"7"	"17"	"0"
"NLA06608-0337"	"0"	"2"	"5"	"55"	"17"
"NLA06608-0339"	"0"	"0"	"0"	"0"	"1"
"NLA06608-0340"	"0"	"1"	"7"	"21"	"5"
"NLA06608-0341"	"1"	"3"	"7"	"51"	"0"
"NLA06608-0343"	"0"	"0"	"1"	"9"	"0"
"NLA06608-0344"	"0"	"0"	"8"	"27"	"3"
"NLA06608-0345"	"0"	"3"	"4"	"63"	"0"
"NLA06608-0350"	"0"	"0"	"0"	"34"	"0"
"NLA06608-0354"	"4"	"22"	"91"	"215"	"0"
"NLA06608-0356"	"0"	"0"	"0"	"8"	"0"
"NLA06608-0357"	"0"	"5"	"23"	"129"	"0"
"NLA06608-0358"	"1"	"1"	"9"	"22"	"0"
"NLA06608-0359"	"0"	"0"	"1"	"12"	"0"
"NLA06608-0361"	"2"	"8"	"28"	"62"	"0"
"NLA06608-0363"	"0"	"3"	"8"	"24"	"0"
"NLA06608-0366"	"1"	"2"	"11"	"25"	"0"
"NLA06608-0367"	"3"	"3"	"15"	"34"	"0"
"NLA06608-0369"	"0"	"1"	"10"	"72"	"0"
"NLA06608-0372"	"1"	"4"	"21"	"63"	"4"
"NLA06608-0373"	"5"	"10"	"39"	"66"	"2"
"NLA06608-0376"	"0"	"1"	"9"	"79"	"0"
"NLA06608-0377"	"2"	"4"	"12"	"53"	"0"
"NLA06608-0378"	"0"	"0"	"0"	"1"	"0"
"NLA06608-0384"	"0"	"3"	"6"	"18"	"12"
"NLA06608-0385"	"0"	"0"	"0"	"5"	"0"
"NLA06608-0386"	"0"	"1"	"2"	"23"	"0"
"NLA06608-0388"	"1"	"2"	"5"	"70"	"0"
"NLA06608-0393"	"0"	"0"	"18"	"152"	"0"
"NLA06608-0395"	"0"	"2"	"17"	"40"	"0"
"NLA06608-0399"	"0"	"0"	"2"	"43"	"0"
"NLA06608-0401"	"0"	"0"	"6"	"7"	"0"
"NLA06608-0402"	"0"	"0"	"1"	"15"	"0"
"NLA06608-0403"	"0"	"2"	"4"	"20"	"0"
"NLA06608-0405"	"0"	"2"	"7"	"64"	"0"
"NLA06608-0406"	"1"	"5"	"14"	"84"	"1"
"NLA06608-0407"	"0"	"0"	"0"	"1"	"0"
"NLA06608-0408"	"0"	"0"	"1"	"62"	"1"
"NLA06608-0413"	"2"	"3"	"11"	"101"	"0"
"NLA06608-0414"	"0"	"0"	"2"	"31"	"0"
"NLA06608-0418"	"0"	"3"	"51"	"197"	"0"
"NLA06608-0421"	"0"	"2"	"20"	"167"	"0"
"NLA06608-0425"	"0"	"0"	"2"	"25"	"0"
"NLA06608-0426"	"0"	"0"	"2"	"31"	"0"
"NLA06608-0432"	"0"	"0"	"2"	"15"	"0"
"NLA06608-0433"	"3"	"4"	"7"	"50"	"0"
"NLA06608-0435"	"0"	"0"	"0"	"9"	"0"
"NLA06608-0436"	"1"	"1"	"16"	"58"	"0"
"NLA06608-0439"	"0"	"0"	"0"	"1"	"0"
"NLA06608-0440"	"0"	"0"	"2"	"88"	"1"
"NLA06608-0442"	"0"	"1"	"8"	"48"	"12"
"NLA06608-0444"	"0"	"0"	"0"	"22"	"0"
"NLA06608-0445"	"2"	"7"	"26"	"50"	"0"
"NLA06608-0447"	"0"	"1"	"7"	"38"	"0"
"NLA06608-0449"	"0"	"0"	"1"	"10"	"0"
"NLA06608-0452"	"22"	"47"	"69"	"223"	"25"
"NLA06608-0453"	"0"	"7"	"50"	"81"	"0"
"NLA06608-0454"	"9"	"33"	"115"	"173"	"0"
"NLA06608-0456"	"2"	"8"	"27"	"64"	"13"
"NLA06608-0458"	"0"	"1"	"24"	"85"	"0"
"NLA06608-0459"	"0"	"0"	"7"	"63"	"0"
"NLA06608-0462"	"0"	"2"	"14"	"45"	"0"
"NLA06608-0463"	"0"	"0"	"6"	"27"	"0"
"NLA06608-0467"	"1"	"1"	"11"	"36"	"0"
"NLA06608-0468"	"0"	"34"	"75"	"281"	"13"
"NLA06608-0469"	"4"	"12"	"35"	"686"	"0"
"NLA06608-0470"	"0"	"0"	"8"	"65"	"0"
"NLA06608-0471"	"0"	"0"	"0"	"5"	"0"
"NLA06608-0472"	"3"	"4"	"17"	"100"	"5"
"NLA06608-0473"	"0"	"1"	"11"	"47"	"0"
"NLA06608-0479"	"9"	"10"	"10"	"40"	"0"
"NLA06608-0480"	"0"	"1"	"5"	"25"	"0"
"NLA06608-0483"	"1"	"2"	"3"	"4"	"1"
"NLA06608-0484"	"0"	"0"	"0"	"29"	"0"
"NLA06608-0488"	"0"	"0"	"0"	"9"	"0"
"NLA06608-0489"	"0"	"2"	"3"	"48"	"0"
"NLA06608-0491"	"0"	"1"	"2"	"31"	"0"
"NLA06608-0493"	"0"	"5"	"14"	"50"	"0"
"NLA06608-0494"	"0"	"0"	"1"	"22"	"0"
"NLA06608-0495"	"0"	"1"	"24"	"88"	"5"
"NLA06608-0496"	"0"	"0"	"0"	"0"	"0"
"NLA06608-0497"	"1"	"2"	"3"	"13"	"2"
"NLA06608-0498"	"0"	"3"	"72"	"198"	"0"
"NLA06608-0500"	"0"	"0"	"1"	"23"	"1"
"NLA06608-0501"	"2"	"4"	"8"	"132"	"4"
"NLA06608-0502"	"0"	"0"	"11"	"40"	"0"
"NLA06608-0503"	"0"	"0"	"0"	"6"	"0"
"NLA06608-0508"	"0"	"0"	"19"	"29"	"0"
"NLA06608-0509"	"0"	"2"	"12"	"32"	"0"
"NLA06608-0510"	"0"	"0"	"1"	"5"	"0"
"NLA06608-0511"	"0"	"6"	"18"	"87"	"5"
"NLA06608-0512"	"0"	"0"	"1"	"8"	"0"
"NLA06608-0514"	"0"	"0"	"2"	"20"	"0"
"NLA06608-0515"	"0"	"0"	"0"	"1"	"0"
"NLA06608-0523"	"0"	"0"	"1"	"3"	"2"
"NLA06608-0526"	"0"	"2"	"28"	"42"	"0"
"NLA06608-0528"	"0"	"5"	"7"	"17"	"12"
"NLA06608-0529"	"0"	"3"	"25"	"72"	"21"
"NLA06608-0530"	"0"	"0"	"2"	"11"	"0"
"NLA06608-0531"	"0"	"0"	"0"	"1"	"1"
"NLA06608-0533"	"0"	"0"	"2"	"17"	"0"
"NLA06608-0537"	"0"	"2"	"8"	"19"	"0"
"NLA06608-0540"	"0"	"0"	"1"	"5"	"1"
"NLA06608-0541"	"4"	"7"	"28"	"61"	"0"
"NLA06608-0542"	"2"	"3"	"4"	"55"	"0"
"NLA06608-0546"	"24"	"65"	"115"	"208"	"0"
"NLA06608-0547"	"2"	"6"	"13"	"61"	"0"
"NLA06608-0550"	"2"	"5"	"54"	"92"	"0"
"NLA06608-0551"	"0"	"1"	"8"	"78"	"0"
