"NLAid"	"squareEighth"	"squareQuarter"	"squareHalf"	"squareOne"	"HUC8"
"NLA06608-0933"	0	0	0	2	0
"NLA06608-0934"	0	0	20	96	4
"NLA06608-0935"	10	28	83	208	0
"NLA06608-0938"	0	1	4	32	0
"NLA06608-0940"	0	4	10	17	14
"NLA06608-0942"	0	0	3	30	0
"NLA06608-0943"	1	2	26	157	0
"NLA06608-0944"	0	2	6	22	4
"NLA06608-0946"	2	23	114	299	0
"NLA06608-0950"	0	1	3	8	4
"NLA06608-0955"	0	0	4	86	2
"NLA06608-0957"	0	0	0	28	0
"NLA06608-0958"	0	0	6	30	0
"NLA06608-0961"	1	10	24	105	6
"NLA06608-0962"	0	4	23	127	4
"NLA06608-0967"	0	9	15	26	6
"NLA06608-0968"	0	1	4	25	0
"NLA06608-0970"	5	10	19	79	6
"NLA06608-0971"	5	19	40	145	0
"NLA06608-0972"	1	1	7	27	4
"NLA06608-0974"	0	5	38	69	0
"NLA06608-0979"	11	24	76	139	27
"NLA06608-0980"	0	5	27	62	0
"NLA06608-0982"	2	5	27	68	0
"NLA06608-0984"	0	1	2	38	2
"NLA06608-0986"	0	0	2	38	0
"NLA06608-0987"	0	0	4	83	0
"NLA06608-0989"	1	3	47	121	0
"NLA06608-0990"	2	5	11	70	0
"NLA06608-0993"	0	0	0	8	0
"NLA06608-0994"	0	1	17	165	0
"NLA06608-0996"	1	2	3	19	1
"NLA06608-0997"	0	0	1	72	0
"NLA06608-1001"	1	1	21	66	0
"NLA06608-1002"	0	0	5	19	1
"NLA06608-1003"	2	14	45	86	0
"NLA06608-1005"	0	0	21	237	0
"NLA06608-1006"	0	0	3	31	3
"NLA06608-1007"	0	0	6	102	0
"NLA06608-1008"	0	0	2	8	0
"NLA06608-1010"	5	26	142	374	0
"NLA06608-1012"	1	1	9	51	6
"NLA06608-1014"	0	3	10	55	0
"NLA06608-1015"	0	1	3	52	0
"NLA06608-1016"	0	0	8	44	6
"NLA06608-1018"	0	0	1	8	0
"NLA06608-1022"	1	3	10	32	1
"NLA06608-1024"	0	0	1	17	0
"NLA06608-1034"	3	8	19	32	0
"NLA06608-1035"	0	0	10	60	0
"NLA06608-1036"	9	14	83	271	96
"NLA06608-1037"	26	64	223	845	0
